,תאריך הדיווח,30/03/2017,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,303יל השתלמות כללי,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,1162,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001038-1162-000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1. ט. יתרות התחייבות להשקעה:,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,סכום ההתחייבות,תאריך סיום ההתחייבות,,,,,,,,,,,,,
,,אלפי ₪,תאריך,,,,,,,,,,,,,
,,(1),(2),,,,,,,,,,,,,
,"סה""כ יתרות התחייבות להשקעה","96,326.43",,,,,,,,,,,,,,
,"סה""כ בארץ","88,509.12",,,,,,,,,,,,,,
,חריש,"33,177.27",01/01/21,,,,,,,,,,,,,
,"כת""ש","1,106.64",26/07/22,,,,,,,,,,,,,
,קרן יסודות,"6,509.77",01/12/19,,,,,,,,,,,,,
,קרן יסודות - אנקס,"35,228.43",13/01/18,,,,,,,,,,,,,
,שביט 4,"10,592.18",26/03/22,,,,,,,,,,,,,
,קרן נוי 2,"1,894.83",30/06/20,,,,,,,,,,,,,
,"סה""כ בחו""ל","7,817.31",,,,,,,,,,,,,,
,אקסלמד,"7,817.31",31/12/20,,,,,,,,,,,,,
