,תאריך הדיווח,30/03/2017,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,
,שם מסלול/קרן/קופה,303יל השתלמות כללי,,,,,,,,,,
,מספר מסלול/קרן/קופה,1162,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001038-1162-000,,,,,,,,,,
,,,,,,,,,,,,
,1.א. מזומנים ושווי מזומנים,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",מספר מנפיק,דירוג,שם מדרג,סוג מטבע,שיעור ריבית,תשואה לפידיון,שווי שוק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,
,,,,,,,אחוזים,אחוזים,אלפי ₪,אחוזים,אחוזים,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),
,"סה""כ מזומנים ושווי מזומנים",,,,,,,0.04,"2,243,720.40",100.00,20.31,
,"סה""כ בישראל",,,,,,,0.04,"2,243,720.40",100.00,20.31,
,"סה""כ יתרת מזומנים ועו""ש בש""ח",,,,,,,0.00,"2,106,308.99",93.88,19.06,
,עו'ש- בנק הפועלים,1111111111- 12,12,AAA,מעלות,שקל חדש,0.00,0.00,"79,480.39",3.54,0.72,
,עו'ש- בנק מזרחי,1111111111- 20,20,AAA,מעלות,שקל חדש,0.00,0.00,0.02,0.00,0.00,
,עו'ש- לאומי,1111111111- 10,10,AAA,מעלות,שקל חדש,0.00,0.00,"2,016,814.74",89.89,18.25,
,עו'ש- נשואה,1111111111- 53,53,0,לא מדורג,שקל חדש,0.00,0.00,"33,534.34",1.49,0.30,
,עו'ש(לקבל)- לאומי,1111111111- 10,10,AAA,מעלות,שקל חדש,0.00,0.00,184.56,0.01,0.00,
,עו'ש(לשלם)- לאומי,1111111111- 10,10,AAA,מעלות,שקל חדש,0.00,0.00,"-23,705.06",-1.06,-0.21,
,"סה""כ יתרת מזומנים ועו""ש נקובים במט""ח",,,,,,,0.00,"31,101.43",1.39,0.28,
,$ אוסטרלי- לאומי,130018- 10,10,AAA,מעלות,דולר אוסטרלי,0.00,0.00,579.68,0.03,0.01,
,דולר- בנק הפועלים,20001- 12,12,AAA,מעלות,דולר אמריקאי,0.00,0.00,502.61,0.02,0.00,
,דולר- בנק מזרחי,20001- 20,20,AAA,מעלות,דולר אמריקאי,0.00,0.00,245.30,0.01,0.00,
,דולר- לאומי,20001- 10,10,AAA,מעלות,דולר אמריקאי,0.00,0.00,"22,935.22",1.02,0.21,
,יורו- לאומי,20003- 10,10,AAA,מעלות,אירו,0.00,0.00,"5,808.67",0.26,0.05,
,"לי""ש- לאומי",70002- 10,10,AAA,מעלות,לירה שטרלינג,0.00,0.00,"1,029.79",0.05,0.01,
,"פר""ש- לאומי",30005- 10,10,AAA,מעלות,פרנק שווצרי,0.00,0.00,0.15,0.00,0.00,
,ריאל ברזילאי- לאומי,200041- 10,10,AAA,מעלות,ריאל ברזילאי,0.00,0.00,0.00,0.00,0.00,
,"סה""כ פח""ק/פר""י",,,,,,,0.00,0.00,0.00,0.00,
,0,0,,0,,0,0.00,0.00,0.00,0.00,0.00,
,"סה""כ פק""מ לתקופה של עד שלושה חודשים",,,,,,,0.00,"5,540.74",0.25,0.05,
