,תאריך הדיווח,30/03/2017,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,303יל השתלמות כללי,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,1162,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001038-1162-000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2.ג. מסגרות אשראי מנוצלות ללווים,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,ריבית אפקטיבית,ערך נקוב,עלות מתואמת,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,
,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,,
,"סה""כ מסגרת אשראי מנוצלות ללווים",,,,,,,,,,0.00,0.00,,0.00,0.00,,,,,,,
,"סה""כ בישראל",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,,,,,,
,"סה""כ צמוד מדד",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
,"סה""כ לא צמוד",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
,"סה""כ צמודות למט""ח",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
,"סה""כ אחר",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
