,תאריך הדיווח,30/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,303יל השתלמות כללי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001038-1162-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. תעודות התחייבות ממשלתיות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ תעודות התחייבות ממשלתיות",,,,,,3.75,,,0.33,"3,636,561,428.00",,"4,100,572.35",,100.00,37.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ בישראל",,,,,,3.12,,,0.15,"3,525,691,428.00",,"3,636,321.37",,88.68,32.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ צמודות למדד",,,,,,8.65,,,0.00,"699,837,930.00",,"791,462.72",,19.30,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ גליל",,,,,,8.65,,,0.00,"699,837,930.00",,"791,462.72",,19.30,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גליל 5903- גליל,9590332,TASE,RF,פנימי,07/07/08,4.00,שקל חדש,4.00,0.00,"20,253,222.00",154.38,"31,266.92",0.13,0.76,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גליל 5904- גליל,9590431,TASE,RF,פנימי,04/01/08,6.47,שקל חדש,4.00,0.00,"95,534,394.00",156.35,"149,368.03",0.90,3.64,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשל צמודה 0418- גליל,1108927,TASE,RF,פנימי,30/07/08,1.05,שקל חדש,3.50,0.00,"133,603,456.00",123.76,"165,347.64",0.68,4.03,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
