,תאריך הדיווח,29/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,1039ילין לפידות גמל בני 60 ומעלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,9941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001035-9941-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3. אג""ח קונצרני",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ אגרות חוב קונצרניות",,,,,,,,,3.79,,,1.88,"41,573,496.99",,"46,482.06",,100.00,19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ בישראל",,,,,,,,,3.65,,,1.95,"41,099,496.99",,"44,559.52",,95.86,18.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ צמודות מדד",,,,,,,,,3.52,,,1.56,"26,386,755.59",,"29,241.21",,62.91,12.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"חשמל אגח 25- חברת החשמל לישראל בע""מ",6000160,TASE,אחר,600,שירותים,Aaa,מידרוג,15/09/16,0.76,שקל חדש,1.20,0.59,"1,981,050.00",101.85,"2,017.70",0.20,4.34,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"לאומי אגח 177- בנק לאומי לישראל בע""מ",6040315,TASE,אחר,604,בנקים,AAA,מעלות,13/09/16,3.71,שקל חדש,0.59,0.88,"263,342.00",99.09,260.95,0.00,0.56,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מזרחי הנפ 44 2022 0.99%- מזרחי טפחות חברה להנפקות בע""מ",2310209,TASE,אחר,231,בנקים,AAA,מעלות,26/09/16,5.84,שקל חדש,0.99,1.04,"1,000,000.00",99.70,997.00,0.03,2.14,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מזרחי טפ הנפק אגח 39- מזרחי טפחות חברה להנפקות בע""מ",2310159,TASE,אחר,231,בנקים,AAA,מעלות,13/09/16,3.30,שקל חדש,0.64,0.71,"391,631.00",99.30,388.89,0.01,0.84,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מזרחי טפחות הנפ ס 43- מזרחי טפחות חברה להנפקות בע""מ",2310191,TASE,אחר,231,בנקים,AAA,מעלות,29/09/16,4.49,שקל חדש,4.00,0.81,"437,490.00",116.43,509.37,0.02,1.10,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מזרחי טפחות הנפקות 35- מזרחי טפחות חברה להנפקות בע""מ",2310118,TASE,אחר,231,בנקים,AAA,מעלות,29/09/16,2.24,שקל חדש,2.58,0.89,"22,028.00",108.11,23.81,0.00,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מזרחי טפחות הנפקות 36- מזרחי טפחות חברה להנפקות בע""מ",2310126,TASE,אחר,231,בנקים,AAA,מעלות,29/09/16,0.93,שקל חדש,0.00,0.84,"1,147,577.00",99.23,"1,138.74",0.06,2.45,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פועלים הנ אגח 33- הפועלים הנפקות בע""מ",1940568,TASE,אחר,194,בנקים,AAA,מעלות,14/09/16,2.91,שקל חדש,1.60,0.96,"144,882.00",101.93,147.68,0.00,0.32,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פועלים הנפ אגח 32- הפועלים הנפקות בע""מ",1940535,TASE,אחר,194,בנקים,AAA,מעלות,29/09/16,5.21,שקל חדש,5.00,0.90,"2,464,021.00",126.97,"3,128.57",0.08,6.73,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פועלים הנפקות 31- הפועלים הנפקות בע""מ",1940527,TASE,אחר,194,בנקים,AAA,מעלות,30/08/16,1.33,שקל חדש,4.50,0.63,"447,130.68",108.36,484.51,0.14,1.04,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פועלים הנפקות סדרה 34- הפועלים הנפקות בע""מ",1940576,TASE,אחר,194,בנקים,AAA,מעלות,29/09/16,3.43,שקל חדש,0.70,0.71,"833,891.00",101.05,842.65,0.02,1.81,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
