,תאריך הדיווח,29/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,1039ילין לפידות גמל בני 60 ומעלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,9941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001035-9941-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. ח. השקעות אחרות ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,מספר הנייר,דירוג,שם המדרג,שעור הריבית,סוג מטבע,תשואה לפדיון,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,אחוזים,,אחוזים,אלפי ₪,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ השקעות אחרות",,,,,,0.00,"2,921.59",100.00,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ בישראל",,,,,,0.00,"2,921.59",100.00,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,זכאים מס עמיתים,28200000,0,לא מדורג,0.00,שקל חדש,0.00,-6.75,-0.23,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,חוז חברה מנהלת*,28080000,0,לא מדורג,0.00,שקל חדש,0.00,-128.09,-4.38,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,חייבים,27960000,0,לא מדורג,0.00,שקל חדש,0.00,0.16,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מ.ק.מ 1016 פדיון 6.10.2016(פדיון לקבל),8161010,0,פנימי,0.00,שקל חדש,0.00,771.00,26.39,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשל צמודה 0923(ריבית לקבל),1128081,0,פנימי,0.00,שקל חדש,0.00,1.22,0.04,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשלתי צמודה 922(ריבית לקבל),1124056,0,פנימי,0.00,שקל חדש,0.00,35.91,1.23,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשל קצרה 09/16(פדיון לקבל),1137199,0,פנימי,0.00,שקל חדש,0.00,"1,759.00",60.21,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,דקסיה הנ אגח יא(ריבית לקבל),1134154,0,מעלות,0.00,שקל חדש,0.00,0.28,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,בינל הנפק אוצר נדח הת ו(ריבית לקבל),1110279,0,מידרוג,0.00,שקל חדש,0.00,0.21,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,יואל  אגח 3(פדיון לקבל),5830104,0,מעלות,0.00,שקל חדש,0.00,77.59,2.66,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,יואל  אגח 3(ריבית לקבל),5830104,0,מעלות,0.00,שקל חדש,0.00,1.32,0.05,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אלון חיפושי גז(דיבידנד לקבל),1117688,0,לא מדורג,0.00,שקל חדש,0.00,12.73,0.44,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,בזן סדרה ז(ריבית לקבל),2590438,0,מעלות,0.00,שקל חדש,0.00,7.06,0.24,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,כימיקלים לישראל סד ה(ריבית לקבל),2810299,0,מעלות,0.00,שקל חדש,0.00,12.41,0.42,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"שפיר הנדסה  אג""ח א(פדיון לקבל)",1136134,0,מעלות,0.00,שקל חדש,0.00,34.47,1.18,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"שפיר הנדסה  אג""ח א(ריבית לקבל)",1136134,0,מעלות,0.00,שקל חדש,0.00,5.77,0.20,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ב יאיר אגח 2(פדיון לקבל),1095033,0,לא מדורג,0.00,שקל חדש,0.00,209.54,7.17,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ב יאיר אגח 2(ריבית לקבל),1095033,0,לא מדורג,0.00,שקל חדש,0.00,31.17,1.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ביאיר 13(פדיון לקבל),1131507,0,לא מדורג,0.00,שקל חדש,0.00,34.25,1.17,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
