,תאריך הדיווח,29/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,1039ילין לפידות גמל בני 60 ומעלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,9941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001035-9941-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ מניות",,,,,,,"1,535,292.00",,"14,412.57",,100.00,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ בישראל",,,,,,,"1,521,033.00",,"14,111.54",,97.91,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ תל אביב 25",,,,,,,"743,729.00",,"6,554.89",,45.48,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אלביט מערכות- אלביט מערכות בע""מ",1081124,TASE,אחר,1040,ביטחוניות,שקל חדש,272.00,"35,800.00",97.38,0.00,0.68,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"דיסקונט א- בנק דיסקונט לישראל בע""מ",691212,TASE,אחר,691,בנקים,שקל חדש,"76,765.00",689.60,529.37,0.01,3.67,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פועלים- בנק הפועלים בע""מ",662577,TASE,אחר,662,בנקים,שקל חדש,"69,121.00","2,126.00","1,469.51",0.01,10.20,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"לאומי- בנק לאומי לישראל בע""מ",604611,TASE,אחר,604,בנקים,שקל חדש,"27,132.00","1,425.00",386.63,0.00,2.68,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מזרחי טפחות- בנק מזרחי טפחות בע""מ",695437,TASE,אחר,695,בנקים,שקל חדש,"7,252.00","4,765.00",345.56,0.00,2.40,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"בינלאומי 5- הבנק הבינלאומי הראשון לישראל בע""מ",593038,TASE,אחר,593,בנקים,שקל חדש,"1,244.00","4,790.00",59.59,0.00,0.41,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"חברה לישראל- החברה לישראל בע""מ",576017,TASE,אחר,576,השקעות ואחזקות,שקל חדש,563.00,"61,440.00",345.91,0.01,2.40,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פז נפט- פז חברת הנפט בע""מ",1100007,TASE,אחר,1363,השקעות ואחזקות,שקל חדש,889.00,"58,640.00",521.31,0.01,3.62,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"דלק קבוצה- קבוצת דלק בע""מ",1084128,TASE,אחר,1095,השקעות ואחזקות,שקל חדש,176.00,"77,940.00",137.17,0.00,0.95,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אבנר יהש- אבנר חיפושי נפט וגז - שותפות מוגבלת,268011,TASE,אחר,268,חיפושי נפט וגז,שקל חדש,"3,362.00",260.50,8.76,0.00,0.06,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,דלק קדוחים יהש- דלק קידוחים - שותפות מוגבלת,475020,TASE,אחר,475,חיפושי נפט וגז,שקל חדש,"2,011.00","1,385.00",27.85,0.00,0.19,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ישראמקו יהש- ישראמקו נגב 2 שותפות מוגבלת,232017,TASE,אחר,232,חיפושי נפט וגז,שקל חדש,"528,481.00",68.50,362.01,0.00,2.51,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"טבע- טבע תעשיות פרמצבטיות בע""מ",629014,TASE,אחר,629,"כימיה, גומי ופלסטיק",שקל חדש,410.00,"17,990.00",73.76,0.00,0.51,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מיילן אן.וי- מיילו אן.וי דואלי,1136704,TASE,אחר,1655,"כימיה, גומי ופלסטיק",שקל חדש,810.00,"14,690.00",118.99,0.00,0.83,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,פריגו- פריגו קומפני דואלי,1130699,TASE,אחר,1612,"כימיה, גומי ופלסטיק",שקל חדש,827.00,"36,310.00",300.28,0.00,2.08,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
