,תאריך הדיווח,30/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,303יל השתלמות כללי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001038-1162-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8. חוזים עתידיים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ענף מסחר,סוג מטבע,תאריך רכישה,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,תאריך,,אגורות,אלפי ₪,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ חוזים עתידיים ",,,,,"397,313,354.49",,"137,833.18",100.00,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ בישראל",,,,,"397,313,354.49",,"32,727.67",23.74,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ מדדים כולל מניות",,,,,"49,216,000.00",,-853.38,-0.62,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"קניית מדד מחירים ל - 100.410223 14/04/17- בנק לאומי לישראל בע""מ",89998414,אחר,שקל חדש,15/04/15,"49,216,000.00",-1.73,-853.38,-0.62,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ ש""ח/מט""ח",,,,,"213,684,000.00",,"-17,651.32",-12.81,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"לונג דולר 3.637 _23/12/19- בנק הפועלים בע""מ",89998429,אחר,דולר אמריקאי,21/12/16,"38,765,000.00",-18.59,"-7,206.90",-5.23,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"לונג דולר בפועלים 31072020 _3.577- בנק הפועלים בע""מ",89998415,אחר,דולר אמריקאי,30/07/15,"21,640,000.00",-16.28,"-3,522.60",-2.56,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"לונגדולר 3.595 27012020- בנק הפועלים בע""מ",89998432,אחר,דולר אמריקאי,26/01/17,"38,662,000.00",-15.05,"-5,817.52",-4.22,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
